*i,r,value
geohydro5_9,p2,0
geohydro5_10,p2,0
geohydro5_9,p20,0
geohydro5_10,p20,0
geohydro5_6,p21,0
geohydro5_8,p21,0
geohydro5_9,p21,0
geohydro5_10,p21,0.005336051
geohydro5_9,p24,0
geohydro5_10,p24,0
geohydro5_4,p25,0.1924206
geohydro5_8,p25,0
geohydro5_9,p25,1.00E+00
geohydro5_10,p25,0.000503327
geohydro5_10,p26,0
geohydro5_8,p27,0
geohydro5_9,p27,0
geohydro5_10,p27,0
geohydro5_8,p28,0
geohydro5_9,p28,0
geohydro5_10,p28,0.00245441
geohydro5_9,p29,0
geohydro5_10,p29,0
geohydro5_9,p3,0
geohydro5_10,p3,0
geohydro5_8,p30,0
geohydro5_9,p30,0
geohydro5_10,p30,0
geohydro5_3,p31,0
geohydro5_5,p31,0
geohydro5_7,p31,0
geohydro5_8,p31,0
geohydro5_9,p31,1.00E+00
geohydro5_10,p31,0.000261292
geohydro5_9,p32,0
geohydro5_10,p32,0
geohydro5_8,p33,0
geohydro5_9,p33,0
geohydro5_10,p33,0.000417353
geohydro5_8,p34,0
geohydro5_9,p34,0
geohydro5_10,p34,0.000487935
geohydro5_8,p35,0
geohydro5_9,p35,0
geohydro5_10,p35,0
geohydro5_9,p36,0
geohydro5_10,p36,0
geohydro5_9,p37,0
geohydro5_10,p37,0
geohydro5_9,p38,0
geohydro5_10,p38,0
geohydro5_9,p39,0
geohydro5_10,p39,0
geohydro5_9,p4,0
geohydro5_10,p4,0
geohydro5_9,p40,0
geohydro5_10,p40,0
geohydro5_3,p5,0
geohydro5_8,p5,0
geohydro5_9,p5,1
geohydro5_10,p5,0.000133061
geohydro5_9,p50,0
geohydro5_10,p50,0
geohydro5_9,p56,0
geohydro5_10,p56,0
geohydro5_9,p57,0
geohydro5_10,p57,0
geohydro5_8,p58,0
geohydro5_9,p58,0
geohydro5_10,p58,0
geohydro5_9,p59,0
geohydro5_10,p59,0
geohydro5_8,p6,0
geohydro5_9,p6,1
geohydro5_10,p6,0.017921225
geohydro5_8,p61,0
geohydro5_9,p61,0
geohydro5_10,p61,0
geohydro5_9,p63,0
geohydro5_10,p63,0
geohydro5_8,p64,0
geohydro5_9,p64,0
geohydro5_10,p64,0
geohydro5_8,p65,0
geohydro5_9,p65,0
geohydro5_10,p65,0
geohydro5_8,p66,0
geohydro5_9,p66,0
geohydro5_10,p66,0
geohydro5_9,p67,0
geohydro5_10,p67,0
geohydro5_8,p7,0.087949503
geohydro5_9,p7,1
geohydro5_10,p7,0.001822297
geohydro5_4,p8,0
geohydro5_8,p8,0.41854663
geohydro5_9,p8,1
geohydro5_10,p8,0.106584738
geohydro5_8,p85,0
geohydro5_9,p85,0
geohydro5_10,p85,0
geohydro5_9,p86,0
geohydro5_10,p86,0
geohydro5_9,p87,0
geohydro5_10,p87,0
geohydro5_9,p88,0
geohydro5_10,p88,0
geohydro5_10,p89,0
geohydro5_2,p9,1
geohydro5_7,p9,0.11106
geohydro5_8,p9,0.41596
geohydro5_9,p9,1
geohydro5_10,p9,0.00084405
geohydro5_10,p90,0
geohydro5_9,p91,0
geohydro5_10,p91,0
geohydro5_10,p99,0
