i,r,etype,SO2,NOx,CO2,N2O,CH4
CoalOldUns,p39115,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p39133,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p56041,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p32013,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p48247,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p08017,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p41005,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p05113,process,0.435494286,1.841417155,1.015740048,1.133786848,0.989486704
CoalOldUns,p13193,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p18007,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p47129,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p46043,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p24047,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p17185,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p18069,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p21209,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p19053,process,0.435494286,1.841417155,1.015740048,1.133786848,0.989486704
CoalOldUns,p18169,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p18003,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p18099,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p31171,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p38085,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p48127,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p27045,process,0.435494286,1.841417155,1.015740048,1.133786848,0.989486704
CoalOldUns,p45023,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p27073,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p49005,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p55093,process,0.435494286,1.841417155,1.015740048,1.133786848,0.989486704
CoalOldUns,p13049,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p13233,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p17113,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p23001,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p16055,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p32003,process,0.177201123,0.999626455,1.008830478,3.117913832,3.174603175
CoalOldUns,p20147,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p31089,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p29101,process,0.435494286,1.841417155,1.015740048,1.133786848,0.989486704
CoalOldUns,p55063,process,0.435494286,1.841417155,1.015740048,1.133786848,0.989486704
CoalOldUns,p22021,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p21061,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p17005,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p17009,process,0.435494286,1.841417155,1.015740048,1.133786848,0.989486704
CoalOldUns,p27085,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p55033,process,0.435494286,1.841417155,1.015740048,1.133786848,0.989486704
CoalOldUns,p08027,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p29123,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p48353,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p42127,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p36091,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p48041,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p40095,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p24001,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p54103,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p55053,process,0.435494286,1.841417155,1.015740048,1.133786848,0.989486704
CoalOldUns,p41007,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p53041,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p36003,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p19031,process,0.435494286,1.841417155,1.015740048,1.133786848,0.989486704
CoalOldUns,p18117,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p13089,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p13227,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p30015,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p31017,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p47013,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p37069,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p24510,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p20111,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p19027,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p22107,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p47123,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p20075,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p19151,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p16045,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p05063,process,0.681773813,1.751976893,1.01540288,1.133786848,0.989486704
CoalOldUns,p05085,process,0.681773813,1.751976893,1.01540288,1.133786848,0.989486704
CoalOldUns,p18111,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p13119,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p12051,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p13265,process,0.327371567,1.63096948,0.963298548,1.133786848,0.989486704
CoalOldUns,p48245,process,0.435494286,1.841417155,1.015740048,1.133786848,0.989486704
CoalOldUns,p30059,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
CoalOldUns,p08067,process,1.201363548,1.71514855,1.006223362,0.850340136,0.989486704
