r,East_North_Central,East_South_Central,Mid_Atlantic,Mountain,New_England,Pacific,South_Atlantic,West_North_Central,West_South_Central
p48491,0.001,0.024,0.0,0.029,0.0,0.0,0.002,0.007,0.937
p48493,0.0,0.014,0.0,0.023,0.0,0.0,0.001,0.002,0.959
p48495,0.0,0.001,0.0,0.466,0.0,0.001,0.0,0.009,0.524
p48497,0.003,0.02,0.0,0.037,0.0,0.0,0.002,0.047,0.892
p48499,0.007,0.072,0.0,0.009,0.0,0.0,0.006,0.046,0.86
p48501,0.0,0.001,0.0,0.453,0.0,0.001,0.0,0.026,0.52
p48503,0.002,0.011,0.0,0.066,0.0,0.0,0.001,0.044,0.876
p48505,0.0,0.004,0.0,0.011,0.0,0.0,0.0,0.0,0.985
p48507,0.0,0.005,0.0,0.041,0.0,0.0,0.0,0.002,0.952
p49001,0.0,0.0,0.0,0.906,0.0,0.087,0.0,0.004,0.003
p49003,0.0,0.0,0.0,0.882,0.0,0.109,0.0,0.008,0.001
p49005,0.0,0.0,0.0,0.922,0.0,0.059,0.0,0.017,0.002
p49007,0.0,0.0,0.0,0.947,0.0,0.02,0.0,0.025,0.009
p49009,0.0,0.0,0.0,0.923,0.0,0.016,0.0,0.052,0.009
p49011,0.0,0.0,0.0,0.922,0.0,0.062,0.0,0.013,0.003
p49013,0.0,0.0,0.0,0.939,0.0,0.023,0.0,0.031,0.008
p49015,0.0,0.0,0.0,0.947,0.0,0.023,0.0,0.019,0.01
p49017,0.0,0.0,0.0,0.929,0.0,0.055,0.0,0.008,0.008
p49019,0.0,0.0,0.0,0.935,0.0,0.014,0.0,0.033,0.018
p49021,0.0,0.0,0.0,0.882,0.0,0.112,0.0,0.003,0.003
p49023,0.0,0.0,0.0,0.936,0.0,0.053,0.0,0.008,0.003
p49025,0.0,0.0,0.0,0.903,0.0,0.086,0.0,0.005,0.006
p49027,0.0,0.0,0.0,0.933,0.0,0.059,0.0,0.006,0.003
p49029,0.0,0.0,0.0,0.93,0.0,0.049,0.0,0.018,0.003
p49031,0.0,0.0,0.0,0.93,0.0,0.057,0.0,0.007,0.005
p49033,0.0,0.0,0.0,0.93,0.0,0.045,0.0,0.022,0.003
p49035,0.0,0.0,0.0,0.93,0.0,0.052,0.0,0.014,0.003
p49037,0.0,0.0,0.0,0.933,0.0,0.031,0.0,0.016,0.02
p49039,0.0,0.0,0.0,0.953,0.0,0.027,0.0,0.014,0.006
p49041,0.0,0.0,0.0,0.943,0.0,0.041,0.0,0.01,0.006
p49043,0.0,0.0,0.0,0.936,0.0,0.034,0.0,0.024,0.005
p49045,0.0,0.0,0.0,0.907,0.0,0.084,0.0,0.007,0.002
p49047,0.0,0.0,0.0,0.927,0.0,0.014,0.0,0.047,0.012
p49049,0.0,0.0,0.0,0.941,0.0,0.039,0.0,0.016,0.005
p49051,0.0,0.0,0.0,0.941,0.0,0.033,0.0,0.021,0.005
p49053,0.0,0.0,0.0,0.837,0.0,0.158,0.0,0.002,0.003
p49055,0.0,0.0,0.0,0.941,0.0,0.035,0.0,0.013,0.01
p49057,0.0,0.0,0.0,0.922,0.0,0.06,0.0,0.015,0.003
p50001,0.01,0.001,0.455,0.0,0.52,0.0,0.015,0.0,0.0
p50003,0.011,0.001,0.458,0.0,0.501,0.0,0.03,0.0,0.0
p50005,0.006,0.0,0.349,0.0,0.633,0.0,0.011,0.0,0.0
p50007,0.008,0.001,0.464,0.0,0.516,0.0,0.011,0.0,0.0
p50009,0.005,0.0,0.307,0.0,0.678,0.0,0.009,0.0,0.0
p50011,0.007,0.0,0.44,0.0,0.544,0.0,0.008,0.0,0.0
p50013,0.008,0.001,0.487,0.0,0.496,0.0,0.008,0.0,0.0
p50015,0.007,0.0,0.408,0.0,0.574,0.0,0.01,0.0,0.0
p50017,0.008,0.001,0.366,0.0,0.61,0.0,0.016,0.0,0.0
p50019,0.006,0.0,0.362,0.0,0.622,0.0,0.009,0.0,0.0
p50021,0.01,0.001,0.458,0.0,0.511,0.0,0.02,0.0,0.0
p50023,0.008,0.001,0.405,0.0,0.574,0.0,0.013,0.0,0.0
p50025,0.01,0.001,0.411,0.0,0.547,0.0,0.031,0.0,0.0
p50027,0.009,0.001,0.405,0.0,0.565,0.0,0.021,0.0,0.0
p51001,0.028,0.021,0.263,0.0,0.041,0.0,0.647,0.0,0.0
p51003,0.104,0.09,0.163,0.0,0.018,0.0,0.621,0.002,0.001
p51005,0.146,0.18,0.119,0.0,0.008,0.0,0.542,0.003,0.002
p51007,0.065,0.085,0.11,0.0,0.018,0.0,0.719,0.001,0.001
p51009,0.107,0.131,0.119,0.0,0.012,0.0,0.628,0.002,0.001
p51011,0.088,0.122,0.106,0.0,0.012,0.0,0.668,0.002,0.001
p51013,0.067,0.032,0.29,0.0,0.047,0.0,0.563,0.001,0.0
p51015,0.13,0.111,0.169,0.0,0.014,0.0,0.573,0.002,0.001
p51017,0.148,0.148,0.147,0.0,0.01,0.0,0.542,0.003,0.002
p51019,0.106,0.167,0.094,0.0,0.008,0.0,0.62,0.003,0.002
p51021,0.143,0.295,0.062,0.0,0.003,0.0,0.487,0.006,0.004
p51023,0.127,0.175,0.106,0.0,0.008,0.0,0.579,0.003,0.002
p51025,0.049,0.09,0.082,0.0,0.014,0.0,0.763,0.001,0.001
p51027,0.161,0.363,0.05,0.0,0.002,0.0,0.411,0.008,0.005
p51029,0.086,0.1,0.124,0.0,0.016,0.0,0.671,0.002,0.001
p51031,0.09,0.146,0.091,0.0,0.01,0.0,0.659,0.002,0.002
p51033,0.067,0.051,0.178,0.0,0.032,0.0,0.671,0.001,0.001
p51035,0.105,0.31,0.05,0.0,0.003,0.0,0.524,0.005,0.003
p51036,0.047,0.052,0.148,0.0,0.025,0.0,0.727,0.001,0.001
p51037,0.072,0.127,0.084,0.0,0.011,0.0,0.702,0.002,0.001
p51041,0.059,0.069,0.121,0.0,0.021,0.0,0.729,0.001,0.001
p51043,0.102,0.042,0.314,0.0,0.032,0.0,0.508,0.001,0.0
p51045,0.137,0.207,0.095,0.0,0.006,0.0,0.55,0.004,0.002
p51047,0.096,0.057,0.224,0.0,0.029,0.0,0.592,0.001,0.001
p51049,0.077,0.091,0.122,0.0,0.017,0.0,0.691,0.002,0.001
p51051,0.152,0.374,0.043,0.0,0.002,0.0,0.415,0.009,0.006
p51053,0.051,0.076,0.104,0.0,0.018,0.0,0.749,0.001,0.001
p51057,0.054,0.041,0.193,0.0,0.035,0.0,0.676,0.001,0.0
p51059,0.073,0.035,0.282,0.0,0.043,0.0,0.565,0.001,0.0
p51061,0.093,0.048,0.261,0.0,0.033,0.0,0.565,0.001,0.001
p51063,0.111,0.259,0.062,0.0,0.004,0.0,0.556,0.004,0.003
p51065,0.089,0.084,0.15,0.0,0.02,0.0,0.655,0.002,0.001
p51067,0.102,0.213,0.071,0.0,0.006,0.0,0.602,0.003,0.002
p51069,0.115,0.044,0.324,0.0,0.029,0.0,0.487,0.001,0.001
p51071,0.146,0.249,0.078,0.0,0.004,0.0,0.515,0.005,0.003
p51073,0.037,0.038,0.181,0.0,0.029,0.0,0.714,0.001,0.0
p51075,0.076,0.072,0.143,0.0,0.022,0.0,0.686,0.001,0.001
p51077,0.102,0.372,0.041,0.0,0.002,0.0,0.473,0.006,0.004
p51079,0.111,0.078,0.194,0.0,0.021,0.0,0.593,0.001,0.001
p51081,0.042,0.077,0.088,0.0,0.014,0.0,0.776,0.001,0.001
p51083,0.07,0.151,0.069,0.0,0.009,0.0,0.698,0.002,0.002
p51085,0.066,0.058,0.15,0.0,0.027,0.0,0.698,0.001,0.001
p51087,0.058,0.06,0.139,0.0,0.024,0.0,0.717,0.001,0.001
p51089,0.088,0.227,0.057,0.0,0.005,0.0,0.617,0.003,0.002
p51091,0.158,0.121,0.181,0.0,0.012,0.0,0.526,0.002,0.001
p51093,0.033,0.047,0.133,0.0,0.021,0.0,0.764,0.001,0.0
p51095,0.04,0.045,0.161,0.0,0.026,0.0,0.727,0.001,0.0
p51097,0.049,0.042,0.183,0.0,0.031,0.0,0.693,0.001,0.0
p51099,0.066,0.043,0.207,0.0,0.038,0.0,0.646,0.001,0.0
p51101,0.054,0.047,0.169,0.0,0.029,0.0,0.699,0.001,0.001
p51103,0.039,0.032,0.215,0.0,0.035,0.0,0.679,0.001,0.0
p51105,0.108,0.413,0.027,0.0,0.001,0.0,0.426,0.015,0.01
p51107,0.086,0.036,0.317,0.0,0.039,0.0,0.52,0.001,0.0
p51109,0.084,0.069,0.166,0.0,0.024,0.0,0.654,0.001,0.001
p51111,0.061,0.106,0.083,0.0,0.013,0.0,0.734,0.002,0.001
p51113,0.107,0.069,0.21,0.0,0.024,0.0,0.588,0.001,0.001
p51115,0.033,0.033,0.196,0.0,0.031,0.0,0.706,0.001,0.0
p51117,0.057,0.117,0.068,0.0,0.011,0.0,0.744,0.002,0.001
p51119,0.039,0.035,0.202,0.0,0.033,0.0,0.69,0.001,0.0
p51121,0.127,0.239,0.074,0.0,0.005,0.0,0.549,0.004,0.003
p51125,0.105,0.112,0.137,0.0,0.014,0.0,0.628,0.002,0.001
p51127,0.048,0.048,0.162,0.0,0.027,0.0,0.714,0.001,0.001
p51131,0.027,0.028,0.2,0.0,0.031,0.0,0.713,0.0,0.0
p51133,0.039,0.03,0.231,0.0,0.038,0.0,0.661,0.001,0.0
p51135,0.061,0.093,0.097,0.0,0.016,0.0,0.731,0.002,0.001
p51137,0.093,0.065,0.194,0.0,0.026,0.0,0.62,0.001,0.001
p51139,0.121,0.068,0.233,0.0,0.023,0.0,0.554,0.001,0.001
p51141,0.096,0.266,0.053,0.0,0.004,0.0,0.574,0.004,0.003
p51143,0.083,0.183,0.067,0.0,0.007,0.0,0.655,0.003,0.002
p51145,0.071,0.077,0.128,0.0,0.02,0.0,0.703,0.001,0.001
p51147,0.073,0.109,0.099,0.0,0.014,0.0,0.702,0.002,0.001
p51149,0.046,0.06,0.129,0.0,0.021,0.0,0.742,0.001,0.001
p51153,0.08,0.042,0.26,0.0,0.038,0.0,0.579,0.001,0.0
p51155,0.128,0.276,0.064,0.0,0.004,0.0,0.52,0.005,0.003
p51157,0.107,0.057,0.247,0.0,0.027,0.0,0.559,0.001,0.001
p51159,0.048,0.036,0.21,0.0,0.037,0.0,0.668,0.001,0.0
p51161,0.122,0.207,0.084,0.0,0.006,0.0,0.576,0.004,0.002
p51163,0.125,0.143,0.131,0.0,0.011,0.0,0.586,0.003,0.002
p51165,0.136,0.085,0.211,0.0,0.018,0.0,0.548,0.002,0.001
