* mat,mat_ctry,production
Selenium,Uzbekistan,2.0
Silicon,USA,310000.0
Silicon,Bhutan,80000.0
Silicon,India,60000.0
Silicon,Malaysia,130000.0
Silicon,Poland,30000.0
Silicon,Australia,40000.0
Silicon,Germany,60000.0
Silver,USA,1100.0
Silver,Argentina,800.0
Silver,Australia,1000.0
Silver,Bolivia,1300.0
Silver,Canada,300.0
Silver,Chile,1200.0
Silver,China,3300.0
Silver,India,800.0
Silver,Kazakhstan,1000.0
Silver,Mexico,6300.0
Silver,Peru,3100.0
Silver,Poland,1300.0
Silver,Russia,1200.0
Silver,Sweden,400.0
Silver,Other,2100.0
Steel,USA,81000000.0
Steel,Brazil,34000000.0
Steel,Canada,12000000.0
Steel,China,990000000.0
Steel,Germany,35000000.0
Steel,India,150000000.0
Steel,Iran,33000000.0
Steel,Italy,21000000.0
Steel,Japan,85000000.0
Steel,Mexico,16000000.0
Steel,South_Korea,64000000.0
Steel,Russia,75000000.0
Steel,Taiwan,19000000.0
Steel,Turkey,32000000.0
Steel,Ukraine,6000000.0
Steel,Vietnam,19000000.0
Steel,Other,200000000.0
Tantalum,Australia,52.0
Tantalum,Bolivia,2.0
Tantalum,Brazil,210.0
Tantalum,Burundi,2.0
Tantalum,China,76.0
Tantalum,Congo,880.0
Tantalum,Ethiopia,40.0
Tantalum,Mozambique,55.0
Tantalum,Nigeria,390.0
Tantalum,Russia,29.0
Tantalum,Rwanda,350.0
Tellurium,USA,20.0
Tellurium,Bulgaria,1.0
Tellurium,Canada,27.0
Tellurium,China,750.0
Tellurium,Japan,70.0
Tellurium,Russia,70.0
Tellurium,South_Africa,4.0
Tellurium,Sweden,46.0
Tellurium,Uzbekistan,13.0
Terbium,China,405.7224
Terbium,Myanmar,162.8604
Terbium,Australia,98.5734
Terbium,USA,16.4289
Terbium,Thailand,14.286
Terbium,Madagascar,12.1431
Terbium,India,1.4286
Terbium,Brazil,0.7143
Tin,Australia,9900.0
Tin,Bolivia,21000.0
Tin,Brazil,29000.0
Tin,Burma,34000.0
Tin,China,69000.0
Tin,Congo,25000.0
Tin,Indonesia,50000.0
Tin,Laos,1500.0
Tin,Malaysia,3000.0
Tin,Nigeria,7000.0
Tin,Peru,31000.0
Tin,Russia,3000.0
Tin,Rwanda,3600.0
Tin,Vietnam,6700.0
Tin,Other,1800.0
Titanium,USA,100000.0
Titanium,Australia,600000.0
Titanium,Canada,350000.0
Titanium,China,3300000.0
Titanium,India,222000.0
Titanium,Madagascar,240000.0
Titanium,Mozambique,1908000.0
Titanium,Norway,360000.0
Titanium,Senegal,300000.0
Titanium,South_Africa,1400000.0
Titanium,Ukraine,130000.0
Titanium,Kenya,40000.0
Titanium,Sierra_Leone,60000.0
Titanium,Other,350000.0
Tungsten,Australia,1000.0
Tungsten,Austria,800.0
Tungsten,Bolivia,1600.0
Tungsten,China,67000.0
Tungsten,North_Korea,1700.0
Tungsten,Portugal,500.0
Tungsten,Russia,2000.0
Tungsten,Rwanda,1200.0
Tungsten,Spain,700.0
Tungsten,Vietnam,3400.0
Tungsten,Other,1500.0
Vanadium,Brazil,5000.0
Vanadium,China,70000.0
Vanadium,Russia,21000.0
Vanadium,South_Africa,8000.0
Yttrium,China,7842.0
Yttrium,Myanmar,5427.0
Yttrium,Australia,3874.21
Yttrium,USA,692.49
Yttrium,Madagascar,430.47
Yttrium,Thailand,393.04
Yttrium,Russia,37.43
Yttrium,Vietnam,18.72
Yttrium,Malaysia,18.72
Zinc,USA,750000.0
Zinc,Australia,1100000.0
Zinc,Bolivia,510000.0
Zinc,China,4000000.0
Zinc,India,860000.0
Zinc,Kazakhstan,370000.0
Zinc,Mexico,700000.0
Zinc,Peru,1300000.0
Zinc,Russia,310000.0
Zinc,South_Africa,120000.0
Zinc,Sweden,240000.0
Zinc,Other,1700000.0
Zirconium,USA,100000.0
Zirconium,Australia,500000.0
Zirconium,China,100000.0
Zirconium,Indonesia,95000.0
Zirconium,Kenya,20000.0
Zirconium,Madagascar,30000.0
Zirconium,Mozambique,160000.0
Zirconium,Senegal,60000.0
Zirconium,Sierra_Leone,20000.0
Zirconium,South_Africa,300000.0
Zirconium,Other,110000.0
Silicon,Brazil,390000.0
Silicon,Canada,50000.0
Silicon,China,7400000.0
Silicon,France,110000.0
Silicon,Iceland,90000.0
Silicon,Kazakhstan,137000.0
Silicon,Norway,300000.0
Silicon,Other,208000.0
Silicon,Russia,520000.0
Silicon,South_Africa,50000.0
Silicon,Spain,45000.0
