r,2010,2012,2014,2016,2018,2020,2022,2024,2026,2028,2030,2032,2034,2036,2038,2040,2042,2044,2046,2048,2050
p41029,0.7115,1.423,3.812,9.917,21.908,27.898,48.349,49.19026594,50.53274476,50.53274476,50.53274476,50.53274476,50.53274476,50.53274476,50.53274476,50.53274476,50.53274476,50.53274476,50.53274476,50.53274476,50.53274476
p41033,0.257,0.514,1.377,3.586,6.869,9.052,15.612,16.17876318,16.98130739,16.98130739,16.98130739,16.98130739,16.98130739,16.98130739,16.98130739,16.98130739,16.98130739,16.98130739,16.98130739,16.98130739,16.98130739
p41035,0.2755,0.551,1.476,4.068,7.62,10.579,18.436,19.03684444,19.84319532,19.84319532,19.84319532,19.84319532,19.84319532,19.84319532,19.84319532,19.84319532,19.84319532,19.84319532,19.84319532,19.84319532,19.84319532
p41001,0.05525,0.1105,0.296,0.518,0.587,0.722,1.165,1.183288559,1.213676064,1.213676064,1.213676064,1.213676064,1.213676064,1.213676064,1.213676064,1.213676064,1.213676064,1.213676064,1.213676064,1.213676064,1.213676064
p41025,0.023,0.046,0.123,0.245,0.278,0.345,0.557,0.574273031,0.592054057,0.592054057,0.592054057,0.592054057,0.592054057,0.592054057,0.592054057,0.592054057,0.592054057,0.592054057,0.592054057,0.592054057,0.592054057
p41037,0.0285,0.057,0.153,0.317,0.506,0.674,1.233,1.307952812,1.374112095,1.374112095,1.374112095,1.374112095,1.374112095,1.374112095,1.374112095,1.374112095,1.374112095,1.374112095,1.374112095,1.374112095,1.374112095
p41045,0.1235,0.247,0.662,1.119,1.239,1.539,2.276,2.33285646,2.403067719,2.403067719,2.403067719,2.403067719,2.403067719,2.403067719,2.403067719,2.403067719,2.403067719,2.403067719,2.403067719,2.403067719,2.403067719
p06035,0.61625,1.2325,3.054,6.576,9.662,11.661,15.241,14.27712241,14.57695834,14.57695834,14.57695834,14.57695834,14.57695834,14.57695834,14.57695834,14.57695834,14.57695834,14.57695834,14.57695834,14.57695834,14.57695834
p06049,0.104,0.208,0.515,0.598,0.644,0.704,0.94,0.916588806,0.967374124,0.967374124,0.967374124,0.967374124,0.967374124,0.967374124,0.967374124,0.967374124,0.967374124,0.967374124,0.967374124,0.967374124,0.967374124
p06093,0.68825,1.3765,3.411,4.922,7.192,8.634,11.717,11.32298837,11.83567668,11.83567668,11.83567668,11.83567668,11.83567668,11.83567668,11.83567668,11.83567668,11.83567668,11.83567668,11.83567668,11.83567668,11.83567668
