r,2010,2012,2014,2016,2018,2020,2022,2024,2026,2028,2030,2032,2034,2036,2038,2040,2042,2044,2046,2048,2050
p05139,0.0015,0.003,0.02,0.026,0.078,0.259,0.696,0.567120164,0.593250246,0.593250246,0.593250246,0.593250246,0.593250246,0.593250246,0.593250246,0.593250246,0.593250246,0.593250246,0.593250246,0.593250246,0.593250246
p05145,0.003,0.006,0.041,0.045,0.065,0.299,1.102,0.912501454,0.979118024,0.979118024,0.979118024,0.979118024,0.979118024,0.979118024,0.979118024,0.979118024,0.979118024,0.979118024,0.979118024,0.979118024,0.979118024
p05147,0,0,0,0.004,0.002,0.016,0.079,0.065397641,0.069819217,0.069819217,0.069819217,0.069819217,0.069819217,0.069819217,0.069819217,0.069819217,0.069819217,0.069819217,0.069819217,0.069819217,0.069819217
p05149,0.00075,0.0015,0.01,0.014,0.035,0.124,0.364,0.296333059,0.312556856,0.312556856,0.312556856,0.312556856,0.312556856,0.312556856,0.312556856,0.312556856,0.312556856,0.312556856,0.312556856,0.312556856,0.312556856
p22027,0.01375,0.0275,0.155,0.236,0.207,0.233,0.248,0.202323951,0.212523165,0.212523165,0.212523165,0.212523165,0.212523165,0.212523165,0.212523165,0.212523165,0.212523165,0.212523165,0.212523165,0.212523165,0.212523165
p22035,0.009,0.018,0.101,0.157,0.132,0.148,0.155,0.125686091,0.131250633,0.131250633,0.131250633,0.131250633,0.131250633,0.131250633,0.131250633,0.131250633,0.131250633,0.131250633,0.131250633,0.131250633,0.131250633
p22041,0.0245,0.049,0.276,0.419,0.367,0.425,0.479,0.392385844,0.413612386,0.413612386,0.413612386,0.413612386,0.413612386,0.413612386,0.413612386,0.413612386,0.413612386,0.413612386,0.413612386,0.413612386,0.413612386
p22061,0.046,0.092,0.518,0.795,0.653,0.72,0.745,0.610037366,0.642283998,0.642283998,0.642283998,0.642283998,0.642283998,0.642283998,0.642283998,0.642283998,0.642283998,0.642283998,0.642283998,0.642283998,0.642283998
p22065,0.01025,0.0205,0.115,0.176,0.143,0.156,0.161,0.131817119,0.138028187,0.138028187,0.138028187,0.138028187,0.138028187,0.138028187,0.138028187,0.138028187,0.138028187,0.138028187,0.138028187,0.138028187,0.138028187
p22067,0.02925,0.0585,0.329,0.509,0.425,0.478,0.503,0.408735254,0.427620297,0.427620297,0.427620297,0.427620297,0.427620297,0.427620297,0.427620297,0.427620297,0.427620297,0.427620297,0.427620297,0.427620297,0.427620297
p22073,0.149,0.298,1.678,2.534,2.278,2.73,3.026,2.492263209,2.631252679,2.631252679,2.631252679,2.631252679,2.631252679,2.631252679,2.631252679,2.631252679,2.631252679,2.631252679,2.631252679,2.631252679,2.631252679
p22083,0.02275,0.0455,0.256,0.398,0.338,0.384,0.407,0.332097394,0.347938639,0.347938639,0.347938639,0.347938639,0.347938639,0.347938639,0.347938639,0.347938639,0.347938639,0.347938639,0.347938639,0.347938639,0.347938639
p22107,0.01125,0.0225,0.127,0.192,0.168,0.189,0.202,0.162472263,0.169794792,0.169794792,0.169794792,0.169794792,0.169794792,0.169794792,0.169794792,0.169794792,0.169794792,0.169794792,0.169794792,0.169794792,0.169794792
p22111,0.0175,0.035,0.197,0.303,0.249,0.275,0.285,0.231957256,0.24377885,0.24377885,0.24377885,0.24377885,0.24377885,0.24377885,0.24377885,0.24377885,0.24377885,0.24377885,0.24377885,0.24377885,0.24377885
p22123,0.009,0.018,0.101,0.155,0.166,0.199,0.226,0.183930864,0.192190502,0.192190502,0.192190502,0.192190502,0.192190502,0.192190502,0.192190502,0.192190502,0.192190502,0.192190502,0.192190502,0.192190502,0.192190502
p28001,0.002,0.004,0.03,0.086,0.115,0.154,0.175,4.407187873,4.52839133,4.52839133,4.52839133,4.52839133,4.52839133,4.52839133,4.52839133,4.52839133,4.52839133,4.52839133,4.52839133,4.52839133,4.52839133
p28005,0.0005,0.001,0.007,0.025,0.041,0.06,0.093,2.333878299,2.385548732,2.385548732,2.385548732,2.385548732,2.385548732,2.385548732,2.385548732,2.385548732,2.385548732,2.385548732,2.385548732,2.385548732,2.385548732
p28007,0.0005,0.001,0.007,0.018,0.032,0.045,0.064,1.613482414,1.658389157,1.658389157,1.658389157,1.658389157,1.658389157,1.658389157,1.658389157,1.658389157,1.658389157,1.658389157,1.658389157,1.658389157,1.658389157
p28011,0.001,0.002,0.015,0.037,0.056,0.077,0.113,2.860124938,2.939802017,2.939802017,2.939802017,2.939802017,2.939802017,2.939802017,2.939802017,2.939802017,2.939802017,2.939802017,2.939802017,2.939802017,2.939802017
p28015,0.00025,0.0005,0.004,0.006,0.015,0.02,0.031,0.790902716,0.811199797,0.811199797,0.811199797,0.811199797,0.811199797,0.811199797,0.811199797,0.811199797,0.811199797,0.811199797,0.811199797,0.811199797,0.811199797
p28021,0.00025,0.0005,0.004,0.006,0.015,0.017,0.028,0.707111989,0.725290249,0.725290249,0.725290249,0.725290249,0.725290249,0.725290249,0.725290249,0.725290249,0.725290249,0.725290249,0.725290249,0.725290249,0.725290249
p28023,0.0005,0.001,0.007,0.031,0.056,0.05,0.077,1.935361426,1.981597824,1.981597824,1.981597824,1.981597824,1.981597824,1.981597824,1.981597824,1.981597824,1.981597824,1.981597824,1.981597824,1.981597824,1.981597824
p28027,0.00075,0.0015,0.011,0.031,0.044,0.06,0.072,1.834199451,1.883820904,1.883820904,1.883820904,1.883820904,1.883820904,1.883820904,1.883820904,1.883820904,1.883820904,1.883820904,1.883820904,1.883820904,1.883820904
p28029,0.00075,0.0015,0.011,0.025,0.044,0.06,0.091,2.304244993,2.369141205,2.369141205,2.369141205,2.369141205,2.369141205,2.369141205,2.369141205,2.369141205,2.369141205,2.369141205,2.369141205,2.369141205,2.369141205
p28031,0.0005,0.001,0.007,0.018,0.032,0.045,0.07,1.756539753,1.798855706,1.798855706,1.798855706,1.798855706,1.798855706,1.798855706,1.798855706,1.798855706,1.798855706,1.798855706,1.798855706,1.798855706,1.798855706
p28033,0.0035,0.007,0.052,0.129,0.209,0.283,0.432,10.95819215,11.26934761,11.26934761,11.26934761,11.26934761,11.26934761,11.26934761,11.26934761,11.26934761,11.26934761,11.26934761,11.26934761,11.26934761,11.26934761
p28035,0.00275,0.0055,0.041,0.105,0.177,0.236,0.354,9.050420355,9.421390453,9.421390453,9.421390453,9.421390453,9.421390453,9.421390453,9.421390453,9.421390453,9.421390453,9.421390453,9.421390453,9.421390453,9.421390453
p28037,0.00025,0.0005,0.004,0.006,0.015,0.02,0.031,0.79396823,0.812732554,0.812732554,0.812732554,0.812732554,0.812732554,0.812732554,0.812732554,0.812732554,0.812732554,0.812732554,0.812732554,0.812732554,0.812732554
p28039,0.0005,0.001,0.007,0.018,0.032,0.045,0.067,1.680923731,1.726578755,1.726578755,1.726578755,1.726578755,1.726578755,1.726578755,1.726578755,1.726578755,1.726578755,1.726578755,1.726578755,1.726578755,1.726578755
p28041,0.00025,0.0005,0.004,0.006,0.018,0.022,0.034,0.869584252,0.892433584,0.892433584,0.892433584,0.892433584,0.892433584,0.892433584,0.892433584,0.892433584,0.892433584,0.892433584,0.892433584,0.892433584,0.892433584
p28043,0.00075,0.0015,0.011,0.031,0.044,0.06,0.086,2.175493388,2.234766941,2.234766941,2.234766941,2.234766941,2.234766941,2.234766941,2.234766941,2.234766941,2.234766941,2.234766941,2.234766941,2.234766941,2.234766941
p28045,0.00125,0.0025,0.019,0.049,0.085,0.114,0.171,4.349964937,4.474856167,4.474856167,4.474856167,4.474856167,4.474856167,4.474856167,4.474856167,4.474856167,4.474856167,4.474856167,4.474856167,4.474856167,4.474856167
p28047,0.00675,0.0135,0.101,0.252,0.421,0.564,0.965,24.87869305,25.99730614,25.99730614,25.99730614,25.99730614,25.99730614,25.99730614,25.99730614,25.99730614,25.99730614,25.99730614,25.99730614,25.99730614,25.99730614
p28049,0.01075,0.0215,0.161,0.308,0.407,0.517,0.78,20.00145964,20.73488786,20.73488786,20.73488786,20.73488786,20.73488786,20.73488786,20.73488786,20.73488786,20.73488786,20.73488786,20.73488786,20.73488786,20.73488786
p28051,0.0005,0.001,0.007,0.018,0.032,0.045,0.068,1.711578875,1.753572737,1.753572737,1.753572737,1.753572737,1.753572737,1.753572737,1.753572737,1.753572737,1.753572737,1.753572737,1.753572737,1.753572737,1.753572737
p28053,0,0,0,0.006,0.009,0.01,0.016,0.411800768,0.422789557,0.422789557,0.422789557,0.422789557,0.422789557,0.422789557,0.422789557,0.422789557,0.422789557,0.422789557,0.422789557,0.422789557,0.422789557
p28055,0,0,0,0,0,0.002,0.002,0.055179259,0.056225364,0.056225364,0.056225364,0.056225364,0.056225364,0.056225364,0.056225364,0.056225364,0.056225364,0.056225364,0.056225364,0.056225364,0.056225364
p28059,0.0035,0.007,0.052,0.135,0.259,0.353,0.542,13.65073564,14.11475308,14.11475308,14.11475308,14.11475308,14.11475308,14.11475308,14.11475308,14.11475308,14.11475308,14.11475308,14.11475308,14.11475308,14.11475308
p28061,0.0005,0.001,0.007,0.018,0.032,0.045,0.07,1.758583429,1.802529001,1.802529001,1.802529001,1.802529001,1.802529001,1.802529001,1.802529001,1.802529001,1.802529001,1.802529001,1.802529001,1.802529001,1.802529001
p28063,0.00025,0.0005,0.004,0.012,0.021,0.027,0.039,0.985051961,1.010090364,1.010090364,1.010090364,1.010090364,1.010090364,1.010090364,1.010090364,1.010090364,1.010090364,1.010090364,1.010090364,1.010090364,1.010090364
p28065,0.00025,0.0005,0.004,0.012,0.024,0.032,0.048,1.211900027,1.240708791,1.240708791,1.240708791,1.240708791,1.240708791,1.240708791,1.240708791,1.240708791,1.240708791,1.240708791,1.240708791,1.240708791,1.240708791
p28067,0.00225,0.0045,0.034,0.086,0.159,0.214,0.31,7.824214594,8.150195975,8.150195975,8.150195975,8.150195975,8.150195975,8.150195975,8.150195975,8.150195975,8.150195975,8.150195975,8.150195975,8.150195975,8.150195975
p28073,0.00075,0.0015,0.011,0.031,0.056,0.08,0.121,3.081863813,3.167335557,3.167335557,3.167335557,3.167335557,3.167335557,3.167335557,3.167335557,3.167335557,3.167335557,3.167335557,3.167335557,3.167335557,3.167335557
p28075,0.002,0.004,0.03,0.086,0.189,0.266,0.379,9.544990012,9.815565991,9.815565991,9.815565991,9.815565991,9.815565991,9.815565991,9.815565991,9.815565991,9.815565991,9.815565991,9.815565991,9.815565991,9.815565991
p28077,0.0005,0.001,0.007,0.018,0.029,0.042,0.06,1.514364115,1.549967665,1.549967665,1.549967665,1.549967665,1.549967665,1.549967665,1.549967665,1.549967665,1.549967665,1.549967665,1.549967665,1.549967665,1.549967665
p28079,0.001,0.002,0.015,0.055,0.091,0.139,0.159,3.995387105,4.084920409,4.084920409,4.084920409,4.084920409,4.084920409,4.084920409,4.084920409,4.084920409,4.084920409,4.084920409,4.084920409,4.084920409,4.084920409
p28083,0.0005,0.001,0.007,0.025,0.038,0.052,0.076,1.929230397,1.979062601,1.979062601,1.979062601,1.979062601,1.979062601,1.979062601,1.979062601,1.979062601,1.979062601,1.979062601,1.979062601,1.979062601,1.979062601
p28085,0.00075,0.0015,0.011,0.031,0.053,0.072,0.131,3.297471659,3.388091543,3.388091543,3.388091543,3.388091543,3.388091543,3.388091543,3.388091543,3.388091543,3.388091543,3.388091543,3.388091543,3.388091543,3.388091543
p28089,0.0035,0.007,0.052,0.117,0.156,0.199,0.282,7.356212728,7.700366452,7.700366452,7.700366452,7.700366452,7.700366452,7.700366452,7.700366452,7.700366452,7.700366452,7.700366452,7.700366452,7.700366452,7.700366452
p28091,0.00075,0.0015,0.011,0.037,0.062,0.07,0.099,2.485110342,2.544950791,2.544950791,2.544950791,2.544950791,2.544950791,2.544950791,2.544950791,2.544950791,2.544950791,2.544950791,2.544950791,2.544950791,2.544950791
p28097,0.00025,0.0005,0.004,0.012,0.021,0.03,0.045,1.146502387,1.174601614,1.174601614,1.174601614,1.174601614,1.174601614,1.174601614,1.174601614,1.174601614,1.174601614,1.174601614,1.174601614,1.174601614,1.174601614
p28101,0.00075,0.0015,0.011,0.049,0.091,0.142,0.164,4.111876652,4.23066326,4.23066326,4.23066326,4.23066326,4.23066326,4.23066326,4.23066326,4.23066326,4.23066326,4.23066326,4.23066326,4.23066326,4.23066326
p28107,0.001,0.002,0.015,0.037,0.059,0.08,0.122,3.087994842,3.168279906,3.168279906,3.168279906,3.168279906,3.168279906,3.168279906,3.168279906,3.168279906,3.168279906,3.168279906,3.168279906,3.168279906,3.168279906
p28109,0.0025,0.005,0.037,0.123,0.197,0.316,0.391,9.812711603,10.0289705,10.0289705,10.0289705,10.0289705,10.0289705,10.0289705,10.0289705,10.0289705,10.0289705,10.0289705,10.0289705,10.0289705,10.0289705
p28111,0.00025,0.0005,0.004,0.012,0.021,0.027,0.041,1.044318573,1.071541152,1.071541152,1.071541152,1.071541152,1.071541152,1.071541152,1.071541152,1.071541152,1.071541152,1.071541152,1.071541152,1.071541152,1.071541152
p28113,0.002,0.004,0.03,0.111,0.162,0.256,0.271,6.80237646,6.948837536,6.948837536,6.948837536,6.948837536,6.948837536,6.948837536,6.948837536,6.948837536,6.948837536,6.948837536,6.948837536,6.948837536,6.948837536
p28119,0.00025,0.0005,0.004,0.006,0.015,0.02,0.03,0.74492,0.763284744,0.763284744,0.763284744,0.763284744,0.763284744,0.763284744,0.763284744,0.763284744,0.763284744,0.763284744,0.763284744,0.763284744,0.763284744
p28121,0.0035,0.007,0.052,0.129,0.209,0.283,0.434,10.9622795,11.25177051,11.25177051,11.25177051,11.25177051,11.25177051,11.25177051,11.25177051,11.25177051,11.25177051,11.25177051,11.25177051,11.25177051,11.25177051
p28123,0.00075,0.0015,0.011,0.031,0.053,0.07,0.106,2.689477969,2.790313276,2.790313276,2.790313276,2.790313276,2.790313276,2.790313276,2.790313276,2.790313276,2.790313276,2.790313276,2.790313276,2.790313276,2.790313276
p28125,0.00025,0.0005,0.004,0.012,0.018,0.025,0.022,0.54770524,0.560740255,0.560740255,0.560740255,0.560740255,0.560740255,0.560740255,0.560740255,0.560740255,0.560740255,0.560740255,0.560740255,0.560740255,0.560740255
p28127,0.0005,0.001,0.007,0.025,0.041,0.057,0.088,2.221476104,2.27737908,2.27737908,2.27737908,2.27737908,2.27737908,2.27737908,2.27737908,2.27737908,2.27737908,2.27737908,2.27737908,2.27737908,2.27737908
p28129,0.00025,0.0005,0.004,0.012,0.024,0.032,0.048,1.219052894,1.25011843,1.25011843,1.25011843,1.25011843,1.25011843,1.25011843,1.25011843,1.25011843,1.25011843,1.25011843,1.25011843,1.25011843,1.25011843
p28131,0.00025,0.0005,0.004,0.018,0.032,0.05,0.067,1.68705476,1.725401939,1.725401939,1.725401939,1.725401939,1.725401939,1.725401939,1.725401939,1.725401939,1.725401939,1.725401939,1.725401939,1.725401939,1.725401939
p28133,0.0005,0.001,0.007,0.025,0.044,0.065,0.079,2.005868257,2.057683676,2.057683676,2.057683676,2.057683676,2.057683676,2.057683676,2.057683676,2.057683676,2.057683676,2.057683676,2.057683676,2.057683676,2.057683676
p28135,0.00025,0.0005,0.004,0.018,0.027,0.037,0.048,1.22109657,1.250079685,1.250079685,1.250079685,1.250079685,1.250079685,1.250079685,1.250079685,1.250079685,1.250079685,1.250079685,1.250079685,1.250079685,1.250079685
p28137,0.0005,0.001,0.007,0.025,0.035,0.047,0.07,1.76880181,1.819304601,1.819304601,1.819304601,1.819304601,1.819304601,1.819304601,1.819304601,1.819304601,1.819304601,1.819304601,1.819304601,1.819304601,1.819304601
p28143,0.00025,0.0005,0.004,0.012,0.018,0.022,0.034,0.869584252,0.892433584,0.892433584,0.892433584,0.892433584,0.892433584,0.892433584,0.892433584,0.892433584,0.892433584,0.892433584,0.892433584,0.892433584,0.892433584
p28147,0.0005,0.001,0.007,0.018,0.027,0.037,0.057,1.44590096,1.48603977,1.48603977,1.48603977,1.48603977,1.48603977,1.48603977,1.48603977,1.48603977,1.48603977,1.48603977,1.48603977,1.48603977,1.48603977
p28149,0.00125,0.0025,0.019,0.049,0.088,0.124,0.189,4.796508202,4.929334839,4.929334839,4.929334839,4.929334839,4.929334839,4.929334839,4.929334839,4.929334839,4.929334839,4.929334839,4.929334839,4.929334839,4.929334839
p28151,0.001,0.002,0.015,0.055,0.088,0.134,0.163,4.110854814,4.214243599,4.214243599,4.214243599,4.214243599,4.214243599,4.214243599,4.214243599,4.214243599,4.214243599,4.214243599,4.214243599,4.214243599,4.214243599
p28153,0.0005,0.001,0.007,0.018,0.032,0.045,0.066,1.674792702,1.728816154,1.728816154,1.728816154,1.728816154,1.728816154,1.728816154,1.728816154,1.728816154,1.728816154,1.728816154,1.728816154,1.728816154,1.728816154
p28157,0.00075,0.0015,0.011,0.043,0.074,0.122,0.13,3.261707324,3.328316357,3.328316357,3.328316357,3.328316357,3.328316357,3.328316357,3.328316357,3.328316357,3.328316357,3.328316357,3.328316357,3.328316357,3.328316357
p28163,0.00125,0.0025,0.019,0.074,0.121,0.186,0.21,5.261444553,5.381343645,5.381343645,5.381343645,5.381343645,5.381343645,5.381343645,5.381343645,5.381343645,5.381343645,5.381343645,5.381343645,5.381343645,5.381343645
p28003,0.00425,0.0085,0.064,0.369,0.698,0.746,0.818,20.51340054,20.94154121,20.94154121,20.94154121,20.94154121,20.94154121,20.94154121,20.94154121,20.94154121,20.94154121,20.94154121,20.94154121,20.94154121,20.94154121
p28009,0.00025,0.0005,0.004,0.012,0.021,0.03,0.039,0.977899094,1.000150434,1.000150434,1.000150434,1.000150434,1.000150434,1.000150434,1.000150434,1.000150434,1.000150434,1.000150434,1.000150434,1.000150434,1.000150434
p28013,0.0005,0.001,0.007,0.043,0.074,0.094,0.116,2.90815133,2.970709001,2.970709001,2.970709001,2.970709001,2.970709001,2.970709001,2.970709001,2.970709001,2.970709001,2.970709001,2.970709001,2.970709001,2.970709001
p28017,0.0005,0.001,0.007,0.018,0.029,0.04,0.068,1.720775418,1.775140333,1.775140333,1.775140333,1.775140333,1.775140333,1.775140333,1.775140333,1.775140333,1.775140333,1.775140333,1.775140333,1.775140333,1.775140333
p28019,0.00025,0.0005,0.004,0.006,0.015,0.02,0.031,0.778640658,0.797644689,0.797644689,0.797644689,0.797644689,0.797644689,0.797644689,0.797644689,0.797644689,0.797644689,0.797644689,0.797644689,0.797644689,0.797644689
p28025,0.00075,0.0015,0.011,0.043,0.074,0.117,0.129,3.246379752,3.320652571,3.320652571,3.320652571,3.320652571,3.320652571,3.320652571,3.320652571,3.320652571,3.320652571,3.320652571,3.320652571,3.320652571,3.320652571
p28057,0.0015,0.003,0.022,0.166,0.339,0.147,0.229,5.741708476,5.866470222,5.866470222,5.866470222,5.866470222,5.866470222,5.866470222,5.866470222,5.866470222,5.866470222,5.866470222,5.866470222,5.866470222,5.866470222
p28069,0.00025,0.0005,0.004,0.006,0.015,0.02,0.03,0.745941838,0.765386538,0.765386538,0.765386538,0.765386538,0.765386538,0.765386538,0.765386538,0.765386538,0.765386538,0.765386538,0.765386538,0.765386538,0.765386538
p28071,0.00225,0.0045,0.034,0.117,0.171,0.256,0.285,7.153888778,7.310195677,7.310195677,7.310195677,7.310195677,7.310195677,7.310195677,7.310195677,7.310195677,7.310195677,7.310195677,7.310195677,7.310195677,7.310195677
p28081,0.002,0.004,0.03,0.074,0.124,0.167,0.255,6.454951494,6.634597839,6.634597839,6.634597839,6.634597839,6.634597839,6.634597839,6.634597839,6.634597839,6.634597839,6.634597839,6.634597839,6.634597839,6.634597839
p28087,0.00425,0.0085,0.064,0.289,0.516,0.587,0.673,16.8787223,17.24325858,17.24325858,17.24325858,17.24325858,17.24325858,17.24325858,17.24325858,17.24325858,17.24325858,17.24325858,17.24325858,17.24325858,17.24325858
p28093,0.00075,0.0015,0.011,0.025,0.041,0.057,0.087,2.19082096,2.248263932,2.248263932,2.248263932,2.248263932,2.248263932,2.248263932,2.248263932,2.248263932,2.248263932,2.248263932,2.248263932,2.248263932,2.248263932
p28095,0.001,0.002,0.015,0.043,0.068,0.089,0.144,3.63672192,3.736424868,3.736424868,3.736424868,3.736424868,3.736424868,3.736424868,3.736424868,3.736424868,3.736424868,3.736424868,3.736424868,3.736424868,3.736424868
p28099,0.00125,0.0025,0.019,0.074,0.127,0.194,0.222,5.591498271,5.727730154,5.727730154,5.727730154,5.727730154,5.727730154,5.727730154,5.727730154,5.727730154,5.727730154,5.727730154,5.727730154,5.727730154,5.727730154
p28103,0.00025,0.0005,0.004,0.018,0.029,0.042,0.054,1.371306776,1.402607329,1.402607329,1.402607329,1.402607329,1.402607329,1.402607329,1.402607329,1.402607329,1.402607329,1.402607329,1.402607329,1.402607329,1.402607329
p28105,0.00125,0.0025,0.019,0.049,0.083,0.112,0.2,5.048902221,5.189165276,5.189165276,5.189165276,5.189165276,5.189165276,5.189165276,5.189165276,5.189165276,5.189165276,5.189165276,5.189165276,5.189165276,5.189165276
p28115,0.00125,0.0025,0.019,0.074,0.118,0.191,0.213,5.34523528,5.473616689,5.473616689,5.473616689,5.473616689,5.473616689,5.473616689,5.473616689,5.473616689,5.473616689,5.473616689,5.473616689,5.473616689,5.473616689
p28117,0.00125,0.0025,0.019,0.074,0.115,0.179,0.197,4.937521865,5.042795272,5.042795272,5.042795272,5.042795272,5.042795272,5.042795272,5.042795272,5.042795272,5.042795272,5.042795272,5.042795272,5.042795272,5.042795272
p28139,0.00075,0.0015,0.011,0.037,0.065,0.104,0.117,2.951068532,3.023985084,3.023985084,3.023985084,3.023985084,3.023985084,3.023985084,3.023985084,3.023985084,3.023985084,3.023985084,3.023985084,3.023985084,3.023985084
p28141,0.00075,0.0015,0.011,0.037,0.056,0.082,0.101,2.536202249,2.59966277,2.59966277,2.59966277,2.59966277,2.59966277,2.59966277,2.59966277,2.59966277,2.59966277,2.59966277,2.59966277,2.59966277,2.59966277
p28145,0.00075,0.0015,0.011,0.031,0.053,0.075,0.133,3.343454375,3.428582517,3.428582517,3.428582517,3.428582517,3.428582517,3.428582517,3.428582517,3.428582517,3.428582517,3.428582517,3.428582517,3.428582517,3.428582517
p28155,0.00025,0.0005,0.004,0.012,0.018,0.022,0.034,0.866518738,0.890900827,0.890900827,0.890900827,0.890900827,0.890900827,0.890900827,0.890900827,0.890900827,0.890900827,0.890900827,0.890900827,0.890900827,0.890900827
p28159,0.00125,0.0025,0.019,0.086,0.15,0.214,0.24,6.016582934,6.139131752,6.139131752,6.139131752,6.139131752,6.139131752,6.139131752,6.139131752,6.139131752,6.139131752,6.139131752,6.139131752,6.139131752,6.139131752
p28161,0.0005,0.001,0.007,0.025,0.044,0.062,0.082,2.075353251,2.136970648,2.136970648,2.136970648,2.136970648,2.136970648,2.136970648,2.136970648,2.136970648,2.136970648,2.136970648,2.136970648,2.136970648,2.136970648
p01007,0.0005,0.001,0.003,0.007,0.017,0.023,0.03,0.056201097,0.075296481,0.075296481,0.075296481,0.075296481,0.075296481,0.075296481,0.075296481,0.075296481,0.075296481,0.075296481,0.075296481,0.075296481,0.075296481
p01023,0.0005,0.001,0.003,0.009,0.018,0.025,0.032,0.058244774,0.078969777,0.078969777,0.078969777,0.078969777,0.078969777,0.078969777,0.078969777,0.078969777,0.078969777,0.078969777,0.078969777,0.078969777,0.078969777
p01033,0.007,0.014,0.048,0.091,0.085,0.095,0.097,0.143057339,0.188192772,0.188192772,0.188192772,0.188192772,0.188192772,0.188192772,0.188192772,0.188192772,0.188192772,0.188192772,0.188192772,0.188192772,0.188192772
p01043,0.01225,0.0245,0.084,0.212,0.556,0.666,0.716,1.296712592,1.723256916,1.723256916,1.723256916,1.723256916,1.723256916,1.723256916,1.723256916,1.723256916,1.723256916,1.723256916,1.723256916,1.723256916,1.723256916
p01049,0.0035,0.007,0.024,0.049,0.04,0.044,0.046,0.064375802,0.084686747,0.084686747,0.084686747,0.084686747,0.084686747,0.084686747,0.084686747,0.084686747,0.084686747,0.084686747,0.084686747,0.084686747,0.084686747
p01057,0.00025,0.0005,0.002,0.002,0.003,0.006,0.007,0.012262058,0.016736857,0.016736857,0.016736857,0.016736857,0.016736857,0.016736857,0.016736857,0.016736857,0.016736857,0.016736857,0.016736857,0.016736857,0.016736857
p01059,0.0045,0.009,0.031,0.097,0.272,0.205,0.138,0.150210206,0.214041444,0.214041444,0.214041444,0.214041444,0.214041444,0.214041444,0.214041444,0.214041444,0.214041444,0.214041444,0.214041444,0.214041444,0.214041444
p01063,0.00025,0.0005,0.002,0.002,0.002,0.003,0.003,0.006131029,0.008368429,0.008368429,0.008368429,0.008368429,0.008368429,0.008368429,0.008368429,0.008368429,0.008368429,0.008368429,0.008368429,0.008368429,0.008368429
p01065,0.00025,0.0005,0.002,0.002,0.001,0.001,0.001,0.002043676,0.002612712,0.002612712,0.002612712,0.002612712,0.002612712,0.002612712,0.002612712,0.002612712,0.002612712,0.002612712,0.002612712,0.002612712,0.002612712
p01071,0.0065,0.013,0.044,0.097,0.133,0.179,0.212,0.36683989,0.490988943,0.490988943,0.490988943,0.490988943,0.490988943,0.490988943,0.490988943,0.490988943,0.490988943,0.490988943,0.490988943,0.490988943,0.490988943
p01073,0.01425,0.0285,0.097,0.223,0.538,0.793,1.052,2.231694485,3.24973974,3.24973974,3.24973974,3.24973974,3.24973974,3.24973974,3.24973974,3.24973974,3.24973974,3.24973974,3.24973974,3.24973974,3.24973974
p01075,0.0005,0.001,0.003,0.007,0.004,0.004,0.004,0.005109191,0.005736344,0.005736344,0.005736344,0.005736344,0.005736344,0.005736344,0.005736344,0.005736344,0.005736344,0.005736344,0.005736344,0.005736344,0.005736344
p01077,0.00475,0.0095,0.032,0.066,0.084,0.11,0.127,0.217651523,0.308745611,0.308745611,0.308745611,0.308745611,0.308745611,0.308745611,0.308745611,0.308745611,0.308745611,0.308745611,0.308745611,0.308745611,0.308745611
p01079,0.0015,0.003,0.01,0.022,0.02,0.024,0.025,0.036786173,0.048089404,0.048089404,0.048089404,0.048089404,0.048089404,0.048089404,0.048089404,0.048089404,0.048089404,0.048089404,0.048089404,0.048089404,0.048089404
p01083,0.00525,0.0105,0.036,0.075,0.061,0.067,0.068,0.083790727,0.105000038,0.105000038,0.105000038,0.105000038,0.105000038,0.105000038,0.105000038,0.105000038,0.105000038,0.105000038,0.105000038,0.105000038,0.105000038
p01089,0.0615,0.123,0.42,1.339,4.58,3.486,2.396,4.983504581,6.800900013,6.800900013,6.800900013,6.800900013,6.800900013,6.800900013,6.800900013,6.800900013,6.800900013,6.800900013,6.800900013,6.800900013,6.800900013
p01091,0.0005,0.001,0.003,0.007,0.012,0.017,0.021,0.042917202,0.062291037,0.062291037,0.062291037,0.062291037,0.062291037,0.062291037,0.062291037,0.062291037,0.062291037,0.062291037,0.062291037,0.062291037,0.062291037
p01093,0.00125,0.0025,0.009,0.018,0.012,0.012,0.012,0.013283896,0.015656902,0.015656902,0.015656902,0.015656902,0.015656902,0.015656902,0.015656902,0.015656902,0.015656902,0.015656902,0.015656902,0.015656902,0.015656902
p01095,0.0125,0.025,0.085,0.181,0.282,0.396,0.448,0.724483237,0.940259219,0.940259219,0.940259219,0.940259219,0.940259219,0.940259219,0.940259219,0.940259219,0.940259219,0.940259219,0.940259219,0.940259219,0.940259219
p01103,0.00775,0.0155,0.053,0.113,0.094,0.113,0.125,0.18086535,0.244217174,0.244217174,0.244217174,0.244217174,0.244217174,0.244217174,0.244217174,0.244217174,0.244217174,0.244217174,0.244217174,0.244217174,0.244217174
p01105,0.00025,0.0005,0.002,0.002,0.001,0.001,0.001,0.002043676,0.002082421,0.002082421,0.002082421,0.002082421,0.002082421,0.002082421,0.002082421,0.002082421,0.002082421,0.002082421,0.002082421,0.002082421,0.002082421
