sc_point_gid,fed_frac
50168,0.192308
50169,0.38698
50171,0.0
50174,0.014167
50175,0.0
50176,0.0
50177,0.0
50178,0.0
50179,0.0
50180,0.0
50181,0.0
50182,0.011335
50183,0.039351
50184,0.0
50185,7.9e-05
50186,0.0
50187,0.0
50188,0.0
50189,0.0
50190,0.0
50191,0.0
50192,0.0
50193,0.0
50194,0.23997
50195,0.045126
50196,0.0
50197,0.002052
50198,0.0
50199,0.249267
50200,0.41101
50201,0.330028
50202,0.477529
50203,0.04565
50204,0.006441
50205,0.0
50206,0.071393
50207,0.217458
50208,0.18967
50458,0.0
50459,0.0
50460,0.0
50461,0.0
50462,0.0
50463,0.0
50464,0.0
50465,0.0
50466,0.0
50467,0.0
50468,0.0
50469,0.0
50470,0.0
50471,0.0
50785,0.0
50786,0.0
50787,0.0
50788,0.0
50789,0.0
50790,0.0
50791,0.0
50792,0.0
50793,0.0
50794,0.045348
50795,0.0
50796,0.0
50797,0.0
50798,0.0
50799,0.0
50800,0.19697
50801,0.0
50802,0.002571
50803,0.94
50804,0.249022
50805,0.002656
50806,0.0
50807,0.0
50808,0.088319
50809,0.513921
50810,0.035871
50811,0.026015
50812,0.0257
50813,0.263252
50814,0.814573
50815,0.005003
50816,0.144098
50817,1.0
50818,1.0
50819,1.0
50820,0.080071
50821,0.002316
50822,0.052916
50823,0.326887
50824,0.258
50825,0.058213
50826,0.0
50827,0.0
50828,0.0
50829,0.0
50830,0.0
50831,0.0
50832,0.0
50833,0.0
50834,0.000383
50835,0.036815
50836,0.131858
50837,0.978448
50838,1.0
50839,0.824268
50840,0.175947
50841,0.311828
50842,1.0
50843,0.758977
50844,0.209991
50845,0.031378
50846,0.029965
50847,0.006594
50848,0.000592
50849,0.029893
50850,0.003239
50851,0.0
50852,0.0
50853,1.0
50854,1.0
50857,0.0
50858,0.001005
50859,0.0
50860,0.0
50861,0.0
50862,0.0
50863,0.0
50864,0.000172
50865,0.005161
50866,0.006809
50867,0.037781
50868,0.0
50869,0.0
50870,0.0
50871,0.0
50872,0.0
50873,0.0
50874,0.0
50875,0.0
50876,0.0
50877,0.0
50878,0.145997
50879,0.097697
50880,0.0
50881,0.0
50882,0.021848
50883,0.279612
50884,0.347572
50885,0.249455
50886,0.259427
50887,0.0
50888,0.027919
50889,0.089906
50890,0.202237
50891,0.408817
50892,0.418536
50893,0.664107
50894,0.479086
50895,0.564477
50896,0.128757
50897,0.0
50898,0.0
50899,0.0
50900,0.0
51141,0.0
51142,0.0
51143,0.0
51144,0.0
51145,0.0
51146,0.0
51147,0.0
51148,0.0
51149,0.0
51150,0.0
51151,0.0
51152,0.0
51153,0.0
51154,0.0
51155,0.0
51469,0.0
51470,0.0
51471,0.0
51472,0.0
51473,0.0
51474,0.0
51475,0.0
51476,0.0
51477,0.0
51478,0.0
51479,0.0
51480,0.0
51481,0.0
51482,0.0
51483,0.001062
51487,1.0
51488,0.815508
51489,0.035058
51490,0.131528
51491,0.010235
51492,0.007981
51493,0.118925
51494,0.0
51495,0.0
51496,0.089216
51497,0.948795
51498,1.0
51499,1.0
51502,1.0
51503,0.697248
51504,0.105625
51505,0.038898
51506,0.049672
51507,0.234214
51508,0.0
51509,0.0
51510,0.0
51511,0.0
51512,0.0
51513,0.0
51514,0.0
51515,0.0
51516,0.0
51517,0.0
51518,0.0
51519,0.344149
51520,1.0
51521,0.975862
51522,1.0
51523,1.0
51524,0.887097
51525,0.410673
51526,0.306878
51527,0.095469
51528,0.216286
51529,0.054755
51530,0.0
51531,0.062833
51532,0.0
51533,0.0345
51534,0.0
51535,0.10186
51536,0.006322
51537,0.17
51538,1.0
51543,0.0
51544,0.0
51545,0.0
51546,0.0
51547,0.0
51548,0.0
51549,0.0
51550,0.0
51551,0.089686
51552,0.0
51553,0.0
51554,0.0
51555,0.0
51556,0.0
51557,0.0
51558,0.0
51559,0.0
51560,0.0
51561,0.0
51562,0.004887
51563,0.093942
51564,0.0
51565,0.0
51566,0.042577
51567,0.216067
51568,0.160618
51569,0.285055
51570,0.188997
51571,0.082207
51572,0.005768
51573,0.0
51574,0.081622
51575,0.219589
51576,0.429842
51577,0.522581
51578,0.770794
51579,0.530052
51580,0.318671
51581,0.0
51582,0.0
51583,0.0
51584,0.0
51585,0.151933
51586,0.005021
51587,0.0
51588,0.015711
51589,0.0
51590,0.0
51591,0.0
51592,0.0
51659,0.0
51660,0.0
51825,0.0
51826,0.0
51827,0.0
51828,0.0
51829,0.0
51830,0.0
51831,0.0
51832,0.0
51833,0.0
51834,0.0
51835,0.0
51836,0.0
51837,0.0
51838,0.0
51839,0.0
52152,0.0
52153,0.0
52154,0.0
52155,0.0
52156,0.0
52157,0.0
52158,0.0
52159,0.0
52160,0.0
52161,0.0
52162,0.0
52163,0.0
52164,0.0
52165,0.0
52166,0.0
52167,0.002137
52170,0.74359
52172,1.0
52174,0.036448
52175,0.0
52176,0.0
52177,0.011368
52178,0.036753
52179,0.0
52180,0.99639
52187,0.108717
52188,0.113292
52189,0.339713
52190,0.003163
52191,0.009193
52192,0.0
52193,0.0
52194,0.0
52195,0.0
52196,0.0
52197,0.0
52198,0.0
52199,0.0
52200,0.001857
52201,0.0
52202,0.061644
52203,0.580621
52204,0.998296
52205,0.981295
52206,1.0
52207,0.975155
52208,1.0
52209,0.182836
52210,0.055046
52211,0.188811
52212,0.432927
52213,0.116646
52214,0.003435
52215,0.042192
52216,0.0
52217,0.111906
52218,0.504673
52219,0.295803
52220,0.0
52221,0.0
52222,1.0
52223,1.0
52228,0.003371
52229,0.014675
52230,0.0
52231,0.0
52232,0.0
52233,0.0
52234,0.0
52235,0.0
52236,0.033361
52237,0.018342
52238,0.02768
52239,0.023621
52240,0.0
52241,0.0
52242,0.0
52243,0.0
52244,0.0
52245,0.0
52246,0.0
52247,0.00012
52248,0.0
52249,0.0
52250,0.013175
52251,0.014892
52252,0.269325
52253,0.160324
52254,0.4062
52255,0.164385
52256,0.0
52257,0.128141
52258,0.558395
52259,0.749018
52260,0.424597
52261,0.038258
52262,0.369168
52263,0.322429
52264,0.173978
52265,0.0
52266,0.0
52267,0.0
52268,0.0
52269,0.142044
52270,0.021598
52271,0.008542
52272,0.023254
52273,0.0
52274,0.000168
52275,0.000416
52276,0.0
52277,0.0
52278,0.0
52279,0.0
52280,0.0
52281,0.0
52282,0.0
52283,0.0
52284,0.0
52286,0.0
52287,0.0
52288,0.0
52289,0.0
52343,0.0
52509,0.0
52510,0.0
52511,0.0
52512,0.0
52513,0.0
52514,0.0
52515,0.0
52516,0.0
52517,0.0
52518,0.0
52519,0.0
52520,0.0
52521,0.0
52522,0.0
52523,0.0
52524,0.0
52837,0.026791
52838,0.0
52839,0.0
52840,0.0
52841,0.0
52842,0.0
52843,0.0
52844,0.0
52845,0.0
52846,0.0
52847,0.0
52848,0.0
52849,0.0
52850,0.017686
52851,0.0
52854,0.333333
52855,1.0
52856,1.0
52857,0.001357
52858,0.000194
52859,0.0
52860,0.0
52861,0.042363
52862,0.185386
52863,0.210691
52864,0.047493
52871,0.005699
52872,0.0
52873,0.001433
52874,0.013246
52875,0.069913
52876,0.045806
52877,0.0
52878,0.0
52879,0.042622
52880,0.0
52881,0.000889
52882,0.0
52883,0.0
52884,0.00307
52885,0.002166
52886,0.274867
52887,0.585034
52888,0.801342
52889,0.730903
52890,0.478363
52891,0.954545
52892,0.961538
52893,1.0
52894,0.387277
52895,0.213389
52896,0.947368
52897,0.262392
52898,0.007094
52899,0.000268
52900,0.0
52901,0.010194
52902,0.041448
52903,0.048878
52904,0.635897
52905,0.160658
52906,1.0
52907,1.0
52912,0.008814
52913,0.0
52914,0.0
52915,0.0
52916,0.0
52917,0.0
52918,0.0
52919,0.0
52920,0.0
52921,0.0
52922,0.0
52923,0.010532
52924,0.040778
52925,0.0
52926,0.0
52927,0.0
52928,0.0
52929,0.0
52930,9.9e-05
52931,0.0
52932,0.0
52933,0.002872
52934,0.017902
52935,0.0
52936,0.01037
52937,0.0
52938,0.051914
52939,0.180025
52940,0.302757
52941,0.201846
52942,0.308774
52943,0.450098
52944,0.343762
52945,0.13249
52946,0.469581
52947,0.244406
52948,0.070919
52949,0.002341
52950,0.023725
52951,0.0
52952,0.0
52953,0.000398
52954,0.024211
52955,0.0
52956,0.0
52957,0.0
52958,0.0
52959,0.0
52960,0.0
52961,0.005006
52962,0.0
52963,0.003471
52964,0.0
52965,0.0
52966,0.0
52967,0.0
52968,0.0
52969,0.0
52970,0.0
52971,0.0
52972,0.0
52974,0.0
52975,0.0
52976,0.0
52977,0.0
52978,0.0
52979,0.0
52980,0.0
52981,0.0
52983,0.0
52984,0.0
52985,0.0
52986,0.0
52987,0.0
53192,0.0
53193,0.0
53194,0.0
53195,0.0
53196,0.0
53197,0.0
53198,0.0
53199,0.0
53200,0.0
53201,0.0
53202,0.0
53203,0.0
53204,0.0
53205,0.0
53206,0.0
53207,0.0
53208,0.0
53521,0.0
53522,0.0
53523,0.0
53524,0.0
53525,0.0
53526,0.0
53527,0.0
53528,0.0
53529,0.0
53530,0.0
53531,0.0
53532,0.0
53533,0.0
53534,0.0
53535,0.0
53536,0.0
53537,1.0
53538,0.895238
53540,1.0
53541,0.102799
53542,0.0
53543,0.041458
53544,0.013926
53545,0.417217
53546,0.952288
53547,0.806618
53548,0.128085
53552,1.0
53555,0.0
53556,0.0
53557,0.0
53558,0.0
53559,0.00567
53560,0.088152
53561,0.004335
53562,0.293835
53563,0.040566
53564,0.0
53565,0.0
53566,0.0
53567,0.0
53568,0.0
53569,0.000775
53570,0.127841
53571,0.203169
53572,0.002796
53573,0.01773
53574,0.354067
53575,0.979263
53576,0.238335
53577,0.915789
53578,0.448198
53579,0.06278
53580,0.389831
53581,0.007384
53582,0.018935
53583,0.300364
53584,0.0
53585,0.0
53586,0.0
53587,0.0
53588,0.021777
53589,0.496009
53590,0.155172
