sc_point_gid,fed_frac
49096,0.0
49097,0.0
49098,0.0
49099,0.0
49100,0.008203
49101,0.026719
49102,0.0
49418,0.0
49419,0.0
49420,0.0
49421,0.0
49422,0.0
49423,0.0
49424,0.0
49425,0.0
49426,0.0
49427,0.790493
49428,0.94717
49429,0.0
49430,0.0
49431,0.0
49432,0.0
49433,0.08209
49434,0.662132
49435,1.0
49436,1.0
49437,1.0
49441,0.416094
49442,0.056272
49443,0.001424
49444,0.0
49445,0.018273
49446,0.0
49447,0.003341
49448,0.02918
49449,0.0
49450,0.0
49451,0.0
49452,0.0
49453,0.0
49454,0.0
49455,1.3e-05
49456,0.02996
49457,0.07063
49458,0.02314
49459,0.0
49460,0.0
49461,0.0
49462,0.0
49463,0.0
49464,0.0
49465,0.0
49466,0.0
49467,0.0
49468,0.06772
49469,0.208323
49470,0.173397
49471,0.164481
49473,1.0
49475,0.955216
49476,0.95288
49477,0.442878
49478,1.0
49479,1.0
49480,1.0
49481,0.490125
49482,0.364235
49483,0.015021
49484,0.242933
49485,0.809227
49486,1.0
49490,0.000619
49491,0.0
49492,0.0
49493,0.0
49494,0.0
49495,0.0
49496,0.0
49497,0.0
49498,0.000629
49499,0.006458
49500,0.003448
49501,0.0
49502,0.0
49503,0.006785
49504,0.000124
49505,0.0
49506,0.0
49507,0.0
49508,0.0
49509,0.033862
49510,0.08539
49511,0.001454
49512,0.002263
49513,0.0
49514,0.0
49515,0.092974
49516,0.007648
49517,0.0
49774,0.0
49775,0.0
49776,0.0
49777,0.0
49778,0.0
49779,0.0
49780,0.0
49781,0.0
49782,0.0
49783,0.0
49784,0.0
49785,0.0
49786,0.0
50103,0.0
50104,0.0
50105,0.0
50106,0.0
50107,0.0
50108,0.017443
50109,8e-06
50110,0.60621
50111,0.671798
50112,0.818959
50113,0.190887
50114,0.0
50115,0.020752
50116,0.018532
50117,0.015581
50118,0.011514
50119,0.17743
50120,0.839112
50121,0.114669
50122,0.33862
50123,0.0
50124,1.0
50125,1.0
50126,0.175955
50127,0.0
50128,0.000167
50129,0.146662
50130,0.036615
50131,0.0
50132,0.0
50133,0.0
50134,0.003645
50136,0.0
50137,0.117745
50138,0.0
50139,0.0
50140,0.122993
50141,0.0
50142,0.03181
50143,0.00087
50144,0.0
50145,0.0
50146,0.0
50147,0.0
50148,0.0
50149,0.0
50150,0.0
50151,0.0
50152,0.324222
50153,1.0
50154,0.988944
50155,0.118003
50156,0.197319
50157,1.0
50158,1.0
50159,1.0
50160,0.737104
50161,0.164482
50162,0.443782
50163,0.173084
50164,1.0
50165,0.929079
50166,0.228093
50167,0.0
50168,0.063564
50169,0.869667
50170,1.0
50171,1.0
50174,0.000797
50175,0.0
50176,0.0
50177,0.0
50178,0.0
50179,0.0
50180,0.0
50181,0.0
50182,0.00044
50183,0.029095
50184,0.0
50185,0.0
50186,0.0
50187,0.0
50188,0.0
50189,0.0
50190,0.0
50191,0.0
50192,0.0
50193,0.0
50194,0.384466
50195,0.05096
50196,0.0
50197,0.0
50198,0.0
50199,0.016855
50200,0.00815
50201,0.021905
50202,0.006377
50203,0.0
50204,0.00158
50205,0.006298
50206,0.007309
50207,0.005551
50208,0.002338
50458,0.0
50459,0.0
50460,0.0
50461,0.0
50462,0.0
50463,0.0
50464,0.0
50465,0.0
50466,0.0
50467,0.0
50468,0.0
50469,0.0
50470,0.0
50471,0.0
50786,0.0
50787,0.0
50788,0.0
50789,0.0
50790,0.0
50791,0.0
50792,0.0
50793,0.0
50794,0.093116
50795,0.0
50796,0.0
50797,0.0
50798,0.0
50799,0.011992
50800,0.959016
50801,0.0
50802,0.0312
50803,1.0
50804,0.868303
50805,0.058879
50806,0.007897
50807,0.0
50808,0.064192
50809,0.746503
50810,0.365169
50811,0.0
50812,0.000521
50813,0.052187
50814,0.01761
50815,0.0
50816,0.0
50820,0.0
50821,0.0
50822,0.046539
50823,0.070659
50824,0.157746
50825,0.0
50826,0.0
50827,0.0
50828,0.0
50829,0.0
50830,0.0
50831,0.0
50832,0.0
50833,0.0
50834,0.020092
50835,0.00477
50836,0.11992
50837,1.0
50838,1.0
50839,0.911404
50840,0.13087
50841,0.99702
50842,1.0
50843,0.997785
50844,0.41134
50845,0.258868
50846,0.221092
50847,0.020013
50848,0.237569
50849,0.94693
50850,0.062612
50851,0.0
50852,0.0
50853,1.0
50854,1.0
50855,1.0
50857,1.0
50858,0.281313
50859,0.001771
50860,0.0
50861,0.0
50862,0.0
50863,0.0
50864,0.0
50865,0.000111
50866,0.000402
50867,0.02516
50868,0.0
50869,0.0
50870,0.0
50871,0.0
50872,0.0
50873,0.0
50874,0.0
50875,0.0
50876,0.0
50877,0.0
50878,0.42878
50879,0.15993
50880,0.0
50881,0.0
50882,0.000879
50883,0.003239
50884,0.00593
50885,0.019148
50886,0.005155
50887,0.036966
50888,0.011448
50889,0.048846
50890,0.001908
50891,0.020413
50892,0.012466
50893,0.152759
50894,0.009999
50895,0.077376
50896,0.022765
50897,0.086128
50898,0.04887
50899,0.048632
50900,0.005983
51141,0.0
51142,0.0
51143,0.0
51144,0.0
51145,0.0
51146,0.0
51147,0.0
51148,0.0
51149,0.0
51150,0.0
51151,0.0
51152,0.0
51153,0.0
51154,0.0
51155,0.0
51470,0.0
51471,0.0
51472,0.0
51473,0.0
51474,0.0
51475,0.0
51476,0.0
51477,0.0
51478,0.0
51479,0.00259
51480,0.0
51481,0.0
51482,0.0
51483,0.176212
51487,1.0
51488,1.0
51489,1.0
51490,0.363855
51491,0.000425
51492,0.004457
51493,0.178097
51494,0.003832
51495,0.007455
51496,7.2e-05
51497,0.0
51503,0.482735
51504,0.086412
51505,0.032083
51506,0.021258
51507,0.151618
51508,0.0
51509,0.0
51510,0.0
51511,0.0
51512,0.161221
51513,1.6e-05
51514,0.0
51515,0.0
51516,0.0
51517,0.0
51518,0.01479
